"State","Geography","county_fips","Race","Religion","Sexual_Orientation","Disability","Gender","Gender_Identity","Gender_both","Total","Median_Income","White_Income","White_Diff","Gini","Unemployment","LFPR","AvgYears","Density"
"Kentucky","Harlan County, Kentucky",21095,1,0,0,0,0,0,0,1,25350,25558,208,0.4863,10.3,47.6765881320462,14.0769904663746,62.9
"Kentucky","Harrison County, Kentucky",21097,1,0,0,0,0,0,0,1,40164,41086,922,0.4679,6.9,70.8043023014721,14.551269035533,61.5
"Kentucky","Henderson County, Kentucky",21101,2,0,0,0,0,0,0,2,41630,42791,1161,0.4594,6.4,73.1683645786938,15.1380529312394,105.9
"Kentucky","Hopkins County, Kentucky",21107,2,2,0,0,0,0,0,4,43169,44670,1501,0.4365,6.4,68.6745507627781,14.8916400012427,86.6
"Kentucky","Jefferson County, Kentucky",21111,4,1,1,0,0,0,0,7,50099,56353,6254,0.4829,7.2,78.7449724438936,15.8726181023262,1948.1
"Kentucky","Jessamine County, Kentucky",21113,5,1,0,0,0,0,0,6,52748,54001,1253,0.4902,8,75.7820054366553,15.5964795346442,282.3
"Kentucky","Kenton County, Kentucky",21117,7,3,5,0,0,0,0,20,56568,59274,2706,0.4422,6.5,80.5382270599566,15.7195874415012,996.7
"Kentucky","Letcher County, Kentucky",21133,1,0,0,0,0,0,0,1,29181,29476,295,0.4581,12.9,53.5798087561245,14.3088119828471,72.6
"Kentucky","Madison County, Kentucky",21151,3,1,0,0,0,0,0,4,43707,44816,1109,0.4516,7.7,73.4235856232766,15.5285889108538,189.6
"Kentucky","Marshall County, Kentucky",21157,0,1,1,0,0,0,0,3,45670,46104,434,0.4307,6.8,70.1621754255187,15.0155442702583,104.4
"Kentucky","Mason County, Kentucky",21161,1,0,0,0,0,0,0,1,38613,40020,1407,0.5196,6.6,69.4122079373952,14.8225299464786,72.8
"Kentucky","McCracken County, Kentucky",21145,3,1,0,0,0,0,0,4,42303,45280,2977,0.52,5.1,72.6869529604493,15.4991743796984,263.6
"Kentucky","McCreary County, Kentucky",21147,1,0,0,0,0,0,0,1,18972,19083,111,0.4938,17.6,44.6144514553226,13.9774485060653,42.9
"Kentucky","Nelson County, Kentucky",21179,1,0,0,0,0,0,0,1,51408,52192,784,0.4542,7.1,76.3869977350893,15.1679632486084,104
"Kentucky","Pendleton County, Kentucky",21191,0,1,0,0,0,0,0,1,49766,49935,169,0.4238,5.6,69.8322988505747,14.5399136459484,53.7
"Kentucky","Powell County, Kentucky",21197,0,1,0,0,0,0,0,1,34048,34268,220,0.4574,7.4,60.3296915362407,14.2506589983225,70.5
"Kentucky","Scott County, Kentucky",21209,3,0,0,0,0,0,0,3,64329,67339,3010,0.4121,5.3,81.844152545448,15.718486251021,167.4
"Kentucky","Shelby County, Kentucky",21211,3,1,0,0,0,0,0,4,61737,65384,3647,0.437,4.9,75.988142178136,15.2154008299848,110.8
"Kentucky","Simpson County, Kentucky",21213,2,0,0,0,0,0,0,2,42288,46426,4138,0.4317,5.5,71.3619564061669,14.79283719402,74
"Kentucky","Spencer County, Kentucky",21215,1,0,0,0,0,0,0,1,65700,67630,1930,0.368,6.7,78.4537552573603,15.4053543565739,91.4
"Kentucky","Todd County, Kentucky",21219,0,1,0,0,0,0,0,1,41306,44617,3311,0.4266,7.9,67.595262295082,14.2114575600099,33.3
"Kentucky","Warren County, Kentucky",21227,6,2,3,0,0,0,0,14,46929,50169,3240,0.4582,6.8,76.3795878212196,15.5652943901044,210.1
"Kentucky","Wolfe County, Kentucky",21237,1,0,0,0,0,0,0,1,21797,22065,268,0.5215,10.2,42.7133654103181,13.8820247110403,33.1
"Kentucky","Woodford County, Kentucky",21239,1,0,0,0,0,0,0,1,59471,61853,2382,0.452,4.3,81.5438958180484,15.7943740095087,132.1
